t,x,y,experiment
0.0,3.0,6.0,exp1
0.01,2.852008242692736,6.116659507686625,exp1
0.02526889511084861,2.6343015389722257,6.28156372812884,exp1
0.0441860828302133,2.3796396404604936,6.46303696665626,exp1
0.06810894146905,2.0831263165587113,6.655870841184827,exp1
0.09628386902396471,1.7716574499132431,6.8314177457017635,exp1
0.12932536353511398,1.4575415268695542,6.970525706876612,exp1
0.1674467324310057,1.1587694084728597,7.051441368279082,exp1
0.21224388450021023,0.8832516616734067,7.056102133317743,exp1
0.26733473412625414,0.6341095232558931,6.960116956376984,exp1
0.3160047642742428,0.47609693072223563,6.809654077833221,exp1
0.3695596859295056,0.3507294522143931,6.597778136485593,exp1
0.42235733216403076,0.262611074238268,6.359797536515762,exp1
0.47762083567315167,0.1967202357705552,6.09410009031389,exp1
0.5339390350943061,0.14881711563586125,5.8162569162401505,exp1
0.5923677025858118,0.11326845845635475,5.52800218467704,exp1
0.6527328033406533,0.08694761091978129,5.235488769168349,exp1
0.7155481306234759,0.06726138202321551,4.940438403001888,exp1
0.7810227101588385,0.0524746252573778,4.645378406767895,exp1
0.8495798598360043,0.04128856442248656,4.351449153757266,exp1
0.9215967775301804,0.032780589127860894,4.059836107370805,exp1
0.9975517211213789,0.026272208850258532,3.77128985333602,exp1
1.0779305539907686,0.021270929851933247,3.4866390113642263,exp1
1.163055926076953,0.017421604769112184,3.2073691149127885,exp1
1.2536647757061505,0.014444000467094618,2.93374170351403,exp1
1.350439696271132,0.012137149020455984,2.6665458758812193,exp1
1.4542899067001291,0.010349503596662101,2.4063145838185473,exp1
1.566245910503449,0.008970009884439675,2.1537652130153306,exp1
1.687570818739885,0.007916964551942664,1.909637495554813,exp1
1.819767006770795,0.007132149186339225,1.6748252563048303,exp1
1.964650674293523,0.006576397623998506,1.450365469975544,exp1
2.1243918050864066,0.006227606527310657,1.2375020863628219,exp1
2.301547310744312,0.006080752471661261,1.0377220731856078,exp1
2.498987550819948,0.006150463163895106,0.8528209850813668,exp1
2.7199212734062503,0.006477214037331019,0.6847209216327459,exp1
2.9671741195977686,0.007137975109703402,0.5356303744578846,exp1
3.2347146523048296,0.008224470816766576,0.410741220389804,exp1
3.5178601099417444,0.009863635067187508,0.31025170142358816,exp1
3.813892906035196,0.012246859325267785,0.23151104804385028,exp1
4.120288582281074,0.01564961887957428,0.17114388404377442,exp1
4.435345117592929,0.02047338712340202,0.1256032441184095,exp1
4.757614507777274,0.027293869897166735,0.09170061547309608,exp1
5.086073716287028,0.03694066130150381,0.06672414019854477,exp1
5.419961653833105,0.05060845872382312,0.048482500881062936,exp1
5.758830043093394,0.07002860743459219,0.03525556502716916,exp1
6.1025024378054535,0.0977258650306812,0.025726900456796334,exp1
6.451079148054174,0.13741495368554305,0.018907704808642737,exp1
6.803770108955405,0.19439635784552264,0.014080969866785711,exp1
7.157474691671594,0.2756742902522628,0.010734059010464909,exp1
7.51278736746842,0.3919431091131465,0.008461325769231877,exp1
7.868490118762773,0.5578308786180779,0.007007573863010388,exp1
8.222850201156449,0.7931843046345773,0.006231268143572409,exp1
8.563886095988298,1.1131816986152523,0.006113982311995391,exp1
8.866178051582905,1.5031807907650907,0.006691524500990594,exp1
9.100626349528767,1.8971198644300435,0.00787135151491968,exp1
9.297965005982407,2.307007764528777,0.009770953104095686,exp1
9.481380169079909,2.765747953713521,0.012935300067360558,exp1
9.642243351688043,3.240526044201176,0.017835663563218203,exp1
9.771656929703475,3.6782799023422275,0.024505478959656664,exp1
9.896500747880092,4.152118060522601,0.03524283846950942,exp1
10.0,4.584913176895396,0.049926792938599134,exp1
