t,x,y,experiment,difference
0.0,2.0,3.0,exp1,-1.0
0.01,1.9340526741787005,3.0291478621659156,exp1,-1.095095187987215
0.03015788781665285,1.8056235930038274,3.082697853247446,exp1,-1.2770742602436187
0.05509166956986726,1.655451609943382,3.1393000691449853,exp1,-1.4838484592016032
0.08819926879716286,1.4713758930045306,3.198252149281906,exp1,-1.7268762562773754
0.12790922428435275,1.2737582150223672,3.245651275772886,exp1,-1.9718930607505187
0.17591874751341863,1.0673785271161766,3.271885760553352,exp1,-2.2045072334371754
0.23271365478157477,0.8653067110497299,3.2649715672882493,exp1,-2.3996648562385197
0.3022790259177558,0.6709997620635104,3.2117381448622657,exp1,-2.5407383827987555
0.3814445143697782,0.5065915424341968,3.107780984499606,exp1,-2.601189442065409
0.4576570198461724,0.3911418905793865,2.9792672926273926,exp1,-2.5881254020480062
0.5396443223374441,0.30080775795729614,2.8231459884206687,exp1,-2.5223382304633724
0.6233846866870569,0.23426324566742074,2.6547829479113205,exp1,-2.4205197022439
0.7114884272701641,0.18380063318343545,2.47577332889969,exp1,-2.2919726957162543
0.8032569287517147,0.14596274138536922,2.2929056409114303,exp1,-2.1469428995260613
0.8998639257951253,0.11726149120146358,2.1082355685222836,exp1,-1.99097407732082
1.001447698768556,0.09549901001135148,1.9251689719983784,exp1,-1.829669961987027
1.1087261451742125,0.07890809315427447,1.7455014822466823,exp1,-1.6665933890924078
1.222562854283244,0.066202557404149,1.570548897664553,exp1,-1.504346340260404
1.3439727467676408,0.056449697152537406,1.401339008578521,exp1,-1.3448893114259834
1.4741598507063065,0.048973384427667195,1.238716756775191,exp1,-1.189743372347524
1.6145539214731173,0.043286322686168464,1.0834329644591543,exp1,-1.0401466417729859
1.7668659761249996,0.039042557293205896,0.9361981003932902,exp1,-0.8971555431000843
1.9331543818807408,0.036006131689799284,0.7977219537420344,exp1,-0.7617158220522351
2.1159053050094316,0.03403237061382853,0.6687378270363122,exp1,-0.6347054564224837
2.3181101058725027,0.03306047484872106,0.5500200245083062,exp1,-0.5169595496595851
2.543279174216642,0.03311742183437901,0.44240287935431044,exp1,-0.40928545751993145
2.7952446321060065,0.034333518876359215,0.3467964891603151,exp1,-0.31246297028395587
3.0727731458556082,0.036912821067920244,0.2653583321559757,exp1,-0.22844551108805547
3.3676109209720555,0.04102938793960067,0.1998800298691386,exp1,-0.15885064192953793
3.6777846639022984,0.04697196412833028,0.14858704127854086,exp1,-0.10161507715021058
3.9997825568576424,0.055106261074300646,0.10946208071410987,exp1,-0.054355819639809226
4.332307608479218,0.06597520659349584,0.08008915290929093,exp1,-0.014113946315795087
4.673758243493453,0.08029210822965832,0.0583579144645724,exp1,0.021934193765085923
5.023428036592503,0.09903713454679261,0.042443741023216026,exp1,0.056593393523576584
5.380798361688188,0.12352287528688399,0.030890006317991804,exp1,0.0926328689688922
5.745905574903315,0.15554533077610253,0.022557359081464147,exp1,0.13298797169463838
6.119150268679598,0.19757371584877736,0.01658364238332303,exp1,0.18099007346545434
6.501392739136019,0.25306167877451613,0.012327982060504443,exp1,0.24073369671401168
6.893798749214263,0.32688744349564586,0.009324444255111041,exp1,0.3175629992405348
7.297467414139128,0.42594048445632476,0.00724300013184458,exp1,0.4186974843244802
7.712155675130001,0.5595627618473854,0.005861626117859068,exp1,0.5537011357295263
8.133179292322406,0.7386247414433292,0.005047815363948283,exp1,0.733576926079381
8.547057846974438,0.9707024826228787,0.004742899157507553,exp1,0.9659595834653711
8.933939987219846,1.253204964776334,0.004941557685114703,exp1,1.2482634070912193
9.282400197309814,1.5770601624918323,0.005698631628408395,exp1,1.571361530863424
9.559337505736769,1.892447622313206,0.006975556584286167,exp1,1.88547206572892
9.822296479448694,2.248752451076424,0.009231557108705142,exp1,2.2395208939677187
10.0,2.5253379419537527,0.011806541524421111,exp1,2.5135314004293314
0.0,2.0,3.0,exp2,-1.0
0.01,1.9798036869358149,3.029845509350372,exp2,-1.0500418224145571
0.04312265884957894,1.9103359638878095,3.126221700485097,exp2,-1.2158857365972877
0.09191113818124075,1.8022417069794265,3.2596693356637663,exp2,-1.4574276286843397
0.1532372608489287,1.6604346825354817,3.4092687556250825,exp2,-1.7488340730896008
